proNo,proID,Lat,Lng,proType,Price_k,bedroom,bathroom,parking,age_md,income_md,local_Per,English_Per,rent_md,sch_rank,to_station,Time_train,Total_Time,supermarket,hospital,shopping_center,clinic,Formated_Address,Postal_Code,Locality,pro_type_no,pro_type_real,price_real,link,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,7720571,-37.839606,144.542231,Others,1220,2,1,0,30,774,0.49,0.55,310,487,45,38,90,5000,5000,5000,5000,"1375 Ballan Rd, Quandong VIC 3030, Australia",3030,Quandong,3,Lifestyle,1220000,http://www.realestate.com.au/property-lifestyle-vic-quandong-7720571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,104997043,-37.925699,145.108358,Unit,560,3,1,2,34,456,0.39,0.34,350,394,18,31,48,901,1347,1817,282,"1/76 Scotsburn Ave, Clayton VIC 3168, Australia",3168,Clayton,2,Unit,560000,http://www.realestate.com.au/property-unit-vic-clayton-104997043,1,1,1,1,,,,,1,,,,1,,,1,,,,1,,,,1,,,,,,,,,,,9
2,105023594,-37.768015,144.758322,House,385,4,1,2,36,515,0.47,0.43,270,486,45,26,90,2106,5000,2096,192,"47 Lee St, Deer Park VIC 3023, Australia",3023,Deer Park,1,House,385000,http://www.realestate.com.au/property-house-vic-deer+park-105023594,1,1,,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,1,,,1,1,1,1
3,105140240,-37.883433,144.784844,House,500,4,2,2,35,420,0.65,0.56,286,525,42,29,71,3064,5000,2419,1047,"15 Fiddian Ct, Altona Meadows VIC 3028, Australia",3028,Altona Meadows,1,House,500000,http://www.realestate.com.au/property-house-vic-altona+meadows-105140240,1,1,,1,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,6
4,105178169,-37.723774,144.92596,House,560,3,1,2,32,743,0.65,0.64,311,124,11,26,37,2179,4477,2403,711,"5/102A Railway Parade, Pascoe Vale VIC 3044, Australia",3044,Pascoe Vale,1,Townhouse,560000,http://www.realestate.com.au/property-townhouse-vic-pascoe+vale-105178169,,1,,1,,,,,1,,1,1,,,,,,,,,,1,,,,,,,,,,1,1,1,9
5,105196799,-37.839179,144.882301,House,692,2,2,1,33,549,0.62,0.64,253,319,8,19,27,2062,2288,2475,534,"3/479 Melbourne Rd, Newport VIC 3015, Australia",3015,Newport,1,Townhouse,692000,http://www.realestate.com.au/property-townhouse-vic-newport-105196799,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,4
6,105236228,-37.874655,144.769509,House,465,4,2,1,36,619,0.59,0.56,281,525,21,29,51,2364,5000,1014,92,"11 Plenty Ct, Altona Meadows VIC 3028, Australia",3028,Altona Meadows,1,House,465000,http://www.realestate.com.au/property-house-vic-altona+meadows-105236228,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,5
7,105246219,-37.920825,145.11862,House,650,4,2,1,31,336,0.18,0.18,340,394,8,31,38,603,310,879,139,"2/29 Lillian St, Clayton VIC 3168, Australia",3168,Clayton,1,Townhouse,650200,http://www.realestate.com.au/property-townhouse-vic-clayton-105246219,1,1,,1,,1,,,,,1,1,1,,,,,,,1,,,,,,,,,,,,1,1,1,11
8,105288078,-37.83954,144.862825,House,736,3,2,2,35,563,0.59,0.53,200,319,26,19,45,1490,2602,1869,37,"13 Maxwell Ave, Altona North VIC 3025, Australia",3025,Altona North,1,House,736000,http://www.realestate.com.au/property-house-vic-altona+north-105288078,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
9,105342471,-37.990149,145.075784,House,820,3,2,2,40,731,0.78,0.9,301,311,6,45,50,712,286,750,235,"16 Seventh St, Parkdale VIC 3195, Australia",3195,Parkdale,1,House,820000,http://www.realestate.com.au/property-house-vic-parkdale-105342471,1,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,1,,,,,,,,,,,1
10,105421122,-37.991123,145.081084,Unit,590,3,2,2,43,612,0.76,0.91,312,311,8,45,52,888,739,914,288,"1/156 Parkers Rd, Parkdale VIC 3195, Australia",3195,Parkdale,2,Unit,590000,http://www.realestate.com.au/property-unit-vic-parkdale-105421122,1,1,1,1,1,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,1
11,105451745,-37.794007,145.158688,House,755,3,2,2,36,553,0.5,0.5,350,153,44,26,70,1201,631,1089,1219,"17A Turnstone St, Doncaster East VIC 3109, Australia",3109,Doncaster East,1,Townhouse,755000,http://www.realestate.com.au/property-townhouse-vic-doncaster+east-105451745,1,1,1,1,,,1,,1,,1,,,,,,,,,1,,,1,,,1,,1,,,,,1,1,13
12,105459504,-37.907269,145.025386,House,990,4,2,2,40,704,0.65,0.71,438,600,21,28,50,1632,1558,3864,311,"128A Thomas St, Brighton East VIC 3187, Australia",3187,Brighton East,1,House,990000,http://www.realestate.com.au/property-house-vic-brighton+east-105459504,,,,,,,,,,1,1,1,,,,,,,,1,,,,,,,,1,1,,,,,,6
13,105536419,-37.92416,145.114975,House,650,3,2,2,28,410,0.21,0.2,346,394,8,31,39,394,760,1213,342,"2/32 Prince Charles St, Clayton VIC 3168, Australia",3168,Clayton,1,Townhouse,650168,http://www.realestate.com.au/property-townhouse-vic-clayton-105536419,1,1,,1,,,,,1,,,1,1,1,,,,,,1,,,,,,,,1,,,,1,1,1,12
14,105537197,-37.877219,144.761866,House,455,3,2,3,41,503,0.51,0.58,295,525,21,29,50,2173,5000,302,119,"76 Mintaro Way, Seabrook VIC 3028, Australia",3028,Seabrook,1,House,455000,http://www.realestate.com.au/property-house-vic-seabrook-105537197,1,1,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,8
15,105542245,-37.832848,144.872546,Unit,318,1,1,1,35,802,0.67,0.68,277,319,22,18,40,1939,3273,1946,53,"1/81 Kernot St, South Kingsville VIC 3015, Australia",3015,South Kingsville,2,Unit,317500,http://www.realestate.com.au/property-unit-vic-spotswood-105542245,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
16,105578189,-37.981291,145.150275,House,407,4,2,2,36,405,0.41,0.28,190,344,45,38,86,1504,4064,2294,234,"22 Northgate Dr, Springvale South VIC 3172, Australia",3172,Springvale South,1,House,407000,http://www.realestate.com.au/property-house-vic-springvale+south-105578189,,1,,1,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,5
17,105641099,-37.818701,144.946918,Apartment,540,2,1,1,30,1035,0.26,0.37,471,24,6,4,10,367,1974,538,99,"815/100 Harbour Esplanade, Docklands VIC 3008, Australia",3008,Docklands,0,Apartment,540000,http://www.realestate.com.au/property-apartment-vic-docklands-105641099,1,,,,,,1,,1,,,,1,,,,,1,1,,,,1,,,,,,,,,,,,7
18,105737226,-37.892241,144.76061,House,480,3,2,2,35,874,0.65,0.69,451,600,45,29,73,726,5000,744,691,"7/2 Sandlewood Ln, Point Cook VIC 3030, Australia",3030,Point Cook,1,Townhouse,480000,http://www.realestate.com.au/property-townhouse-vic-sanctuary+lakes-105737226,1,1,,1,,1,1,,1,,1,,,1,,,,,,,,,,,,,,1,,,,1,1,,11
19,105751275,-37.924553,145.117127,Unit,659,3,1,1,28,410,0.21,0.2,346,291,5,31,36,229,646,1040,150,"2/20 Faulkiner St, Clayton VIC 3168, Australia",3168,Clayton,2,Unit,658500,http://www.realestate.com.au/property-unit-vic-clayton-105751275,1,1,,1,,,,,,,1,1,1,,,,,,,1,,,,,,,,,,,,1,1,1,1
20,105778411,-37.845015,144.867274,House,660,3,2,2,39,782,0.67,0.74,341,319,22,19,41,1953,2522,2578,419,"4/199 Woods St, Newport VIC 3015, Australia",3015,Newport,1,House,660000,http://www.realestate.com.au/property-house-vic-newport-105778411,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3
21,105829822,-37.845015,144.867274,House,655,3,2,2,39,782,0.67,0.74,341,319,22,19,41,1953,2522,2578,419,"3/199 Woods St, Newport VIC 3015, Australia",3015,Newport,1,House,655000,http://www.realestate.com.au/property-house-vic-newport-105829822,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3
22,105856721,-37.865025,144.9876391,Apartment,425,2,1,1,30,1018,0.5,0.63,360,252,13,16,28,468,1071,1172,165,"118/135 Inkerman St, St Kilda VIC 3182, Australia",3182,St Kilda,0,Apartment,425000,http://www.realestate.com.au/property-apartment-vic-st+kilda-105856721,1,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,,5
23,105884918,-37.787594,145.160174,House,690,3,2,2,38,577,0.52,0.48,377,153,45,26,80,1108,259,978,1943,"18C Churchill St, Doncaster East VIC 3109, Australia",3109,Doncaster East,1,Townhouse,690000,http://www.realestate.com.au/property-townhouse-vic-doncaster+east-105884918,1,,,1,,1,1,1,1,,1,,,1,,,,,,,,,,,,,,,1,,,,,,9
24,105891256,-37.857741,144.899594,House,1120,3,1,1,43,775,0.73,0.82,325,251,19,25,44,213,604,199,151,"22 Maclean St, Williamstown VIC 3016, Australia",3016,Williamstown,1,House,1120000,http://www.realestate.com.au/property-house-vic-williamstown-105891256,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2
25,105940645,-37.874316,145.09545,House,610,3,1,1,28,361,0.32,0.36,321,245,5,28,33,901,1948,1585,815,"13 Woonah St, Chadstone VIC 3148, Australia",3148,Chadstone,1,House,610000,http://www.realestate.com.au/property-house-vic-chadstone-105940645,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,4
